SNR (dB),BER,PSNR (dB),SSIM
0,0.1583242416381836,13.208778133651784,0.2150347309823189
2,0.1043696403503418,14.85639103602842,0.29856577094130393
5,0.03783607482910156,19.018394371582215,0.5236864917400229
8,0.006125926971435547,26.911202026101023,0.862288602551927
10,0.0007848739624023438,35.802796496228126,0.9806572508339683
15,0.0,inf,1.0
20,0.0,inf,1.0
