SNR (dB),BER Without Coding,BER With Repetition Coding,PSNR Without Coding (dB),PSNR With Repetition Coding (dB),SSIM Without Coding,SSIM With Repetition Coding
0,0.1585407257080078,0.06758403778076172,13.201892494978928,16.65161772930127,0.2126775176227426,0.39556990639420175
2,0.10413932800292969,0.030360698699951172,14.899570082759748,20.04425564566072,0.30112376821654135,0.5787163036101411
4,0.05638265609741211,0.009139537811279297,17.3565556442128,25.14635199480282,0.43314290266720945,0.8096076689042647
6,0.022889137268066406,0.0015344619750976562,21.19518285082336,33.063412030814796,0.6379827170908405,0.9626006587944028
8,0.005888462066650391,0.00010538101196289062,27.127658579677355,44.10009163754811,0.8703897460735639,0.9962586345463053
10,0.0007710456848144531,2.384185791015625e-06,36.03085965096274,55.30570652090432,0.9813354835840207,0.9997124978149534
