Table,Compression ratio,BPP,PSNR (dB),SSIM,Bitstream size
Q10,22.080165089124964,1.0869483947753906,23.646325063745515,0.7350253888273809,284937
Q50,13.613656379086127,1.7629356384277344,25.075732756858812,0.7973632969580088,462143
Q90,8.836947590347062,2.715869903564453,26.530363696603544,0.8433612966700749,711949
